barcode,sku,weight,unit,subCategory,parentCategory,image128,image256,mrp
381370036647,Aveeno Balry Pediatrician Recommended,227,gm,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24299790.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24299790.jpg,799.00
2263906129642,Cool & Cool Refreshing Wipes,20,unit,Diapers & Wipes,Baby Care,https://media.goodbox.in/api_uploads/catalog_upload_20210901185425_2263906129642-removebg-preview.png,https://media.goodbox.in/api_uploads/catalog_upload_20210901185431_2263906129642-removebg-preview_1.png,89.00
4103040012333,Baby Sebamed Childrens Shampoo,500,ml,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24276947.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24276947.jpg,975.00
4103040012371,Sebamed Baby Lotion,400,ml,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/menu-images/fresh+%26+more+grocessary/256x256/Ample+Images/12th+Oct/4103040012371.png,https://media.goodbox.in/qo/menu-images/fresh+%26+more+grocessary/256x256/Ample+Images/12th+Oct/4103040012371.png,1250.00
4103040012395,Baby Sebamed Baby Powder,200,gm,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24278461.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24278461.jpg,700.00
4103040016546,Baby Sebamed Baby Cleansing Bar,150,gm,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24278528.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24278528.jpg,410.00
4103040016560,Seba Med Baby Powder,400,gm,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/2020+images/dropbox+2/Seba Med Baby Powder 400 Gm.jpg,https://media.goodbox.in/qo/menu-images/Master+Grocery+Images/2020+images/dropbox+2/Seba Med Baby Powder 400 Gm.jpg,1200.00
4103040019912,Baby Sebamed Cream Extra Soft,50,ml,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24278517.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24278517.jpg,233.00
4103040019936,Sebamed Baby Body Milk,400,ml,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/api_uploads/catalog_upload_20211010151339_4103040019936-removebg-preview.png,https://media.goodbox.in/api_uploads/catalog_upload_20211010151344_4103040019936-removebg-preview_2.png,1300.00
4103040895578,Baby Sebamed Baby Cleansing Bar,100,gm,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/mrp/images/localcatalog/20191003/24832933.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20191003/24832933.jpg,265.00
4103040895615,Baby Sebamed Childrens Shampoo,150,ml,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24278534.jpg,https://media.goodbox.in/qo/mrp/images/localcatalog/20190923/24278534.jpg,450.00
4103040920454,Sebamed Baby Soothing Massage Oil,150,ml,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/api_uploads/catalog_upload_20211010151522_4103040920454-removebg-preview.png,https://media.goodbox.in/api_uploads/catalog_upload_20211010151531_4103040920454-removebg-preview_1.png,530.00
4902430364249,Pampers Baby Dry Pants (15-25Kg) - XXL,8,unit,Diapers & Wipes,Baby Care,https://media.goodbox.in/api_uploads/catalog_upload_20210310122944_4902430364249-removebg-preview1.png,https://media.goodbox.in/api_uploads/catalog_upload_20210310122947_4902430364249-removebg-preview1.png,199.00
4902430906395,Pampers Premium Care (L 9-14Kg),44,unit,Baby Accessories & More,Baby Care,https://media.goodbox.in/api_uploads/catalog_upload_20210312115207_4902430906395-removebg-preview1.png,https://media.goodbox.in/api_uploads/catalog_upload_20210312115209_4902430906395-removebg-preview1.png,1049.00
4902430908634,Pampers Premium Care Pants - Small Diapers (4- 8Kg),21,unit,Diapers & Wipes,Baby Care,https://media.goodbox.in/qo/menu-images/fresh+%26+more+grocessary/256x256/Ample+Images/12th+Oct/4902430908634.png,https://media.goodbox.in/qo/menu-images/fresh+%26+more+grocessary/256x256/Ample+Images/12th+Oct/4902430908634.png,299.00
4987176023476,Pamper Baby Wipes With Aloe,72,unit,Baby Accessories & More,Baby Care,https://s3-ap-southeast-1.amazonaws.com/media.tsepak.com/New_updates_to_master_catalogue/4987176023476.png,https://s3-ap-southeast-1.amazonaws.com/media.tsepak.com/New_updates_to_master_catalogue/4987176023476.png,199.00
4987176028044,Pampers All-Round Protection (M 7-12Kg),24,unit,Baby Accessories & More,Baby Care,https://media.goodbox.in/qo/menu-images/2020/eezykart+images/4987176028044.jpg,https://media.goodbox.in/qo/menu-images/2020/eezykart+images/4987176028044.jpg,399.00
5060068550508,Cool & Cool Refreshing Wipes Soft & Gentle Aloe,20,unit,Diapers & Wipes,Baby Care,https://media.goodbox.in/qo/menu-images/fresh+%26+more+grocessary/256x256/Ample+Images/12th+Oct/5060068550508.png,https://media.goodbox.in/qo/menu-images/fresh+%26+more+grocessary/256x256/Ample+Images/12th+Oct/5060068550508.png,89.00
5900516401863,Bella Cotton Buds Aloe Extract,200,unit,Diapers & Wipes,Baby Care,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/5900516401863.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/5900516401863.jpg,129.00
5900516420932,Bella Wet Wipe,10,unit,Baby Skin & Hair Care,Baby Care,https://media.goodbox.in/qo/menu-images/MetroEezykart_128x128_Batch2/5900516420932.jpg,https://media.goodbox.in/qo/menu-images/MetroEezykart_256x256_Batch1/5900516420932.jpg,49.00
